epoch,lr,train_loss,train_loss_cls,train_loss_jepa,train_acc1,val_loss,val_acc1
30,0.00041948,1.4834,1.1125,0.3708,67.23,2.0899,48.13
31,0.00041332,1.4624,1.0968,0.3656,62.93,1.9573,50.39
32,0.00040698,1.4564,1.0923,0.3641,66.29,2.0597,53.31
33,0.00040047,1.4368,1.0776,0.3592,64.53,2.0186,54.06
34,0.0003938,1.4139,1.0604,0.3535,64.59,2.0015,56.5
35,0.00038696,1.3631,1.0223,0.3408,70.18,1.8476,57.92
36,0.00037998,1.1853,0.889,0.2963,69.92,2.0604,59.64
37,0.00037286,1.18,0.885,0.295,70.92,1.7787,60.79
38,0.0003656,1.1879,0.8909,0.297,72.66,1.7749,64.01
39,0.00035822,1.0847,0.8135,0.2712,72.64,1.7906,65.29
40,0.00035072,1.0726,0.8044,0.2681,74.68,1.7748,66.76
41,0.00034311,1.1396,0.8547,0.2849,74.3,1.8844,68.49
42,0.0003354,1.0577,0.7933,0.2644,73.13,1.7829,69.98
43,0.0003276,1.0222,0.7667,0.2556,75.39,1.5498,72.02
44,0.00031971,0.9019,0.6764,0.2255,75.56,1.5077,73.02
45,0.00031175,1.0047,0.7536,0.2512,76.77,1.5888,73.83
46,0.00030372,0.9255,0.6941,0.2314,73.17,1.5018,75.88
47,0.00029563,0.8731,0.6548,0.2183,77.74,1.4188,77.19
48,0.00028749,0.9064,0.6798,0.2266,79.26,1.4858,77.83
49,0.00027931,0.8636,0.6477,0.2159,82.29,1.4892,78.45
50,0.0002711,0.826,0.6195,0.2065,78.06,1.3917,81.38
51,0.00026287,0.9322,0.6991,0.233,77.88,1.3171,81.68
52,0.00025463,0.7652,0.5739,0.1913,79.36,1.3608,82.37
53,0.00024637,0.6749,0.5062,0.1687,83.71,1.49,83.37
54,0.00023813,0.7109,0.5332,0.1777,80.74,1.2046,85.87
55,0.0002299,0.6684,0.5013,0.1671,79.5,1.3375,85.4
56,0.00022169,0.7904,0.5928,0.1976,80.51,1.202,85.19
57,0.00021351,0.7711,0.5784,0.1928,82.37,1.22,85.75
58,0.00020537,0.763,0.5723,0.1908,86.09,1.233,87.67
59,0.00019728,0.6157,0.4618,0.1539,80.54,1.2317,88.07
60,0.00018925,0.6919,0.5189,0.173,81.65,1.0834,88.1
61,0.00018129,0.5908,0.4431,0.1477,84.26,1.1083,88.11
62,0.0001734,0.6575,0.4931,0.1644,86.37,1.2228,89.8
63,0.0001656,0.6019,0.4514,0.1505,82.18,1.257,89.93
64,0.00015789,0.6589,0.4942,0.1647,84.98,1.0832,92.33
65,0.00015028,0.6281,0.4711,0.157,84.94,1.3007,91.05
66,0.00014278,0.6608,0.4956,0.1652,81.85,1.0951,91.37
67,0.0001354,0.6134,0.4601,0.1534,82.25,0.8453,90.84
68,0.00012814,0.5599,0.42,0.14,85.04,0.9431,92.45
69,0.00012102,0.492,0.369,0.123,81.49,1.0417,92.77
70,0.00011404,0.5929,0.4447,0.1482,87.4,1.1248,92.82
71,0.0001072,0.5269,0.3952,0.1317,84.77,0.9169,92.94
72,0.00010053,0.4163,0.3122,0.1041,86.66,0.9251,93.57
73,9.402e-05,0.48,0.36,0.12,87.35,0.9515,94.53
74,8.768e-05,0.4819,0.3614,0.1205,85.67,0.808,93.89
75,8.152e-05,0.4929,0.3697,0.1232,87.22,1.0159,95.02
76,7.554e-05,0.543,0.4073,0.1358,85.9,0.7952,94.64
77,6.976e-05,0.4994,0.3746,0.1249,88.39,1.097,94.13
78,6.417e-05,0.505,0.3787,0.1262,83.97,0.8446,94.93
79,5.878e-05,0.4698,0.3523,0.1174,88.92,0.67,95.01
80,5.361e-05,0.4051,0.3038,0.1013,89.74,1.0532,95.59
81,4.865e-05,0.5468,0.4101,0.1367,84.29,0.6605,95.46
82,4.391e-05,0.5312,0.3984,0.1328,89.1,1.0427,94.66
83,3.94e-05,0.4768,0.3576,0.1192,85.0,0.7585,95.47
84,3.512e-05,0.4445,0.3334,0.1111,88.04,0.6795,96.09
85,3.107e-05,0.4494,0.337,0.1123,92.77,0.8334,95.13
86,2.727e-05,0.4384,0.3288,0.1096,87.94,0.8128,95.93
87,2.37e-05,0.376,0.282,0.094,93.01,0.7774,96.08
88,2.039e-05,0.3866,0.2899,0.0966,88.08,0.7708,96.37
89,1.733e-05,0.4367,0.3275,0.1092,89.44,0.7654,96.14
90,1.452e-05,0.4475,0.3356,0.1119,89.59,0.8361,96.31
91,1.197e-05,0.3992,0.2994,0.0998,88.39,0.6868,95.52
92,9.68e-06,0.3517,0.2638,0.0879,91.98,0.9102,96.0
93,7.66e-06,0.5109,0.3832,0.1277,90.44,0.7075,95.33
94,5.9e-06,0.3894,0.292,0.0973,87.55,0.7671,96.0
95,4.4e-06,0.3665,0.2749,0.0916,89.12,0.91,95.8
96,3.18e-06,0.378,0.2835,0.0945,89.13,0.82,96.03
97,2.23e-06,0.3484,0.2613,0.0871,91.88,0.7928,96.6
98,1.55e-06,0.4493,0.337,0.1123,89.93,0.6322,96.83
99,1.14e-06,0.3564,0.2673,0.0891,93.54,0.7054,96.71
100,1e-06,0.3137,0.2353,0.0784,92.39,0.6068,96.04
