epoch,lr,train_loss,train_loss_cls,train_loss_jepa,train_acc1,val_loss,val_acc1
40,0.00035072,1.1696,0.8772,0.2924,71.05,1.5669,61.32
41,0.00034311,1.0467,0.785,0.2617,75.49,1.8013,62.84
42,0.0003354,1.0492,0.7869,0.2623,73.4,1.5867,64.64
43,0.0003276,1.0359,0.777,0.259,74.43,1.5256,65.16
44,0.00031971,1.0143,0.7607,0.2536,74.44,1.6715,66.37
45,0.00031175,1.0323,0.7743,0.2581,73.13,1.6171,68.63
46,0.00030372,0.9584,0.7188,0.2396,77.39,1.6071,69.21
47,0.00029563,0.8939,0.6704,0.2235,75.65,1.5752,71.27
48,0.00028749,0.9301,0.6976,0.2325,75.79,1.2995,72.36
49,0.00027931,0.9056,0.6792,0.2264,76.13,1.4965,72.92
50,0.0002711,0.8543,0.6407,0.2136,76.73,1.571,74.59
51,0.00026287,0.749,0.5618,0.1873,79.11,1.392,75.33
52,0.00025463,0.808,0.606,0.202,81.33,1.357,76.54
53,0.00024637,0.8303,0.6227,0.2076,78.95,1.3208,77.86
54,0.00023813,0.7515,0.5636,0.1879,81.33,1.1789,77.45
55,0.0002299,0.7078,0.5309,0.177,83.41,1.204,78.94
56,0.00022169,0.7206,0.5405,0.1802,81.03,1.2003,79.07
57,0.00021351,0.6607,0.4955,0.1652,78.68,1.3485,79.71
58,0.00020537,0.7216,0.5412,0.1804,81.41,1.0932,80.85
59,0.00019728,0.6959,0.522,0.174,81.95,1.2212,81.11
60,0.00018925,0.6569,0.4927,0.1642,86.8,1.1431,81.46
61,0.00018129,0.6646,0.4985,0.1662,82.82,1.1614,83.15
62,0.0001734,0.5466,0.4099,0.1366,81.98,1.1284,81.82
63,0.0001656,0.6041,0.4531,0.151,84.92,1.0219,83.76
64,0.00015789,0.6163,0.4622,0.1541,84.06,1.1024,84.5
65,0.00015028,0.5813,0.436,0.1453,83.58,0.9035,84.4
66,0.00014278,0.5408,0.4056,0.1352,82.72,1.1141,83.92
67,0.0001354,0.4867,0.365,0.1217,87.89,0.9552,84.34
68,0.00012814,0.6912,0.5184,0.1728,82.67,1.0101,85.01
69,0.00012102,0.4425,0.3319,0.1106,84.83,1.0789,85.61
70,0.00011404,0.5375,0.4031,0.1344,87.25,0.8753,86.01
71,0.0001072,0.5851,0.4388,0.1463,87.31,0.9535,86.02
72,0.00010053,0.5273,0.3955,0.1318,86.67,0.8659,86.15
73,9.402e-05,0.5533,0.4149,0.1383,86.74,1.069,86.73
74,8.768e-05,0.4604,0.3453,0.1151,87.78,0.9592,86.67
75,8.152e-05,0.4664,0.3498,0.1166,89.61,0.8905,86.34
76,7.554e-05,0.4993,0.3744,0.1248,87.82,0.7515,87.16
77,6.976e-05,0.414,0.3105,0.1035,83.26,1.0492,87.01
78,6.417e-05,0.4605,0.3454,0.1151,90.4,0.8243,87.83
79,5.878e-05,0.3586,0.269,0.0897,84.08,0.8786,87.23
80,5.361e-05,0.5349,0.4012,0.1337,87.35,0.9341,87.53
81,4.865e-05,0.4777,0.3583,0.1194,88.52,0.8354,88.38
82,4.391e-05,0.4571,0.3428,0.1143,87.13,0.71,88.3
83,3.94e-05,0.4853,0.364,0.1213,87.15,0.7676,88.53
84,3.512e-05,0.5064,0.3798,0.1266,92.41,1.0369,87.8
85,3.107e-05,0.3854,0.289,0.0963,88.53,0.8004,87.79
86,2.727e-05,0.4418,0.3313,0.1104,89.61,0.9125,89.13
87,2.37e-05,0.417,0.3128,0.1043,89.83,0.8771,87.86
88,2.039e-05,0.3447,0.2586,0.0862,86.34,0.9857,87.79
89,1.733e-05,0.443,0.3323,0.1108,89.89,0.7856,87.86
90,1.452e-05,0.3332,0.2499,0.0833,91.69,0.7685,88.56
91,1.197e-05,0.3498,0.2623,0.0874,91.93,0.8249,88.61
92,9.68e-06,0.3665,0.2748,0.0916,88.51,0.7347,89.77
93,7.66e-06,0.3924,0.2943,0.0981,90.88,0.8414,88.93
94,5.9e-06,0.3459,0.2594,0.0865,91.51,0.7818,89.09
95,4.4e-06,0.3187,0.239,0.0797,92.45,0.8256,89.28
96,3.18e-06,0.3232,0.2424,0.0808,93.16,0.6655,88.72
97,2.23e-06,0.3694,0.2771,0.0924,89.07,0.7002,88.92
98,1.55e-06,0.356,0.267,0.089,93.26,0.8071,88.79
99,1.14e-06,0.3436,0.2577,0.0859,90.47,0.6419,89.17
100,1e-06,0.327,0.2452,0.0817,86.54,0.8189,89.71
