epoch,lr,train_loss,train_loss_cls,train_loss_jepa,train_acc1,val_loss,val_acc1
42,0.0003354,0.9837,0.7378,0.2459,71.68,1.6198,63.73
43,0.0003276,1.0424,0.7818,0.2606,78.86,1.4591,65.18
44,0.00031971,0.9794,0.7345,0.2448,74.69,1.6984,67.77
45,0.00031175,0.9275,0.6956,0.2319,71.44,1.492,68.6
46,0.00030372,1.0037,0.7527,0.2509,75.88,1.3867,69.52
47,0.00029563,0.9081,0.6811,0.227,79.0,1.4964,70.41
48,0.00028749,0.8569,0.6427,0.2142,79.04,1.5022,71.87
49,0.00027931,0.8792,0.6594,0.2198,75.98,1.551,72.46
50,0.0002711,0.8239,0.618,0.206,76.2,1.5585,73.71
51,0.00026287,0.8248,0.6186,0.2062,80.98,1.5964,73.95
52,0.00025463,0.804,0.603,0.201,81.92,1.3352,75.74
53,0.00024637,0.8236,0.6177,0.2059,83.49,1.2484,76.82
54,0.00023813,0.8125,0.6094,0.2031,84.41,1.2077,76.96
55,0.0002299,0.7757,0.5817,0.1939,79.74,1.2685,77.35
56,0.00022169,0.7408,0.5556,0.1852,82.43,1.1156,79.69
57,0.00021351,0.6825,0.5119,0.1706,81.33,1.1491,79.93
58,0.00020537,0.6949,0.5212,0.1737,80.3,1.3287,80.77
59,0.00019728,0.6397,0.4797,0.1599,83.43,1.2226,80.52
60,0.00018925,0.5918,0.4439,0.148,83.13,1.2543,82.06
61,0.00018129,0.5566,0.4175,0.1392,83.28,1.2859,81.91
62,0.0001734,0.6563,0.4922,0.1641,86.3,1.009,82.32
63,0.0001656,0.5003,0.3752,0.1251,84.3,1.1364,82.9
64,0.00015789,0.602,0.4515,0.1505,84.52,0.9665,84.09
65,0.00015028,0.625,0.4687,0.1562,86.91,1.2578,84.08
66,0.00014278,0.5705,0.4278,0.1426,85.0,1.021,84.09
67,0.0001354,0.6646,0.4985,0.1662,82.12,0.9868,84.3
68,0.00012814,0.5657,0.4243,0.1414,84.69,1.0748,85.17
69,0.00012102,0.6446,0.4834,0.1611,87.32,0.8465,84.78
70,0.00011404,0.5236,0.3927,0.1309,84.63,1.1245,85.34
71,0.0001072,0.5517,0.4137,0.1379,83.38,1.1371,85.37
72,0.00010053,0.4651,0.3488,0.1163,87.85,0.8417,86.33
73,9.402e-05,0.4511,0.3383,0.1128,87.28,1.0504,86.31
74,8.768e-05,0.5359,0.4019,0.134,84.86,0.9538,87.19
75,8.152e-05,0.5064,0.3798,0.1266,87.52,0.8406,85.9
76,7.554e-05,0.5326,0.3994,0.1331,88.73,0.9214,86.53
77,6.976e-05,0.4576,0.3432,0.1144,86.45,0.7868,86.72
78,6.417e-05,0.4408,0.3306,0.1102,87.55,0.8705,87.07
79,5.878e-05,0.4607,0.3455,0.1152,88.85,0.8815,87.26
80,5.361e-05,0.4439,0.3329,0.111,88.08,0.9328,87.69
81,4.865e-05,0.4423,0.3317,0.1106,87.18,0.7456,87.14
82,4.391e-05,0.5316,0.3987,0.1329,86.92,0.8367,87.99
83,3.94e-05,0.4777,0.3582,0.1194,87.62,0.9347,87.58
84,3.512e-05,0.5182,0.3887,0.1296,89.43,0.8945,88.29
85,3.107e-05,0.4827,0.362,0.1207,89.91,1.0533,87.84
86,2.727e-05,0.4142,0.3106,0.1035,91.11,0.8515,87.86
87,2.37e-05,0.397,0.2978,0.0993,88.15,0.88,87.96
88,2.039e-05,0.3648,0.2736,0.0912,92.48,0.8357,88.13
89,1.733e-05,0.3822,0.2867,0.0956,92.08,0.8242,88.11
90,1.452e-05,0.3299,0.2474,0.0825,93.93,0.7028,88.59
91,1.197e-05,0.3768,0.2826,0.0942,90.61,0.6203,87.93
92,9.68e-06,0.3972,0.2979,0.0993,93.05,0.8052,88.63
93,7.66e-06,0.3754,0.2816,0.0939,93.86,0.6647,87.97
94,5.9e-06,0.3346,0.2509,0.0836,91.5,0.7473,88.07
95,4.4e-06,0.4329,0.3247,0.1082,87.54,0.7978,88.11
96,3.18e-06,0.3951,0.2963,0.0988,90.61,0.664,88.51
97,2.23e-06,0.3996,0.2997,0.0999,92.64,0.6562,88.24
98,1.55e-06,0.3198,0.2398,0.0799,90.77,0.6481,89.06
99,1.14e-06,0.3672,0.2754,0.0918,93.96,0.6758,88.23
100,1e-06,0.3722,0.2791,0.093,91.0,0.6817,89.44
